symbol	TCGA.D8.A3Z6.01A	TCGA.EW.A1OY.01A	TCGA.EW.A1P3.01A	TCGA.EW.A2FR.01A	TCGA.GM.A2DA.01A
CYFIP2	4.08270582676571	7.0171003253524	5.4792220357361	4.83214623128004	4.25078124693144
PDLIM4	4.67454351548547	2.90773348303604	4.46832948133981	4.88619801249628	4.03511671190096
MSN	6.63959294912616	7.34359792014419	6.83223161992122	9.35903107042535	7.22838625371146
RND3	2.63427785433516	4.28205087608308	4.52717693819817	5.79907249303215	5.74643547305298
ARHGDIB	9.2252139752721	5.01390446084449	9.21293172054809	7.67866578170562	9.91019443625379
MT1E	4.14724371778067	4.13568642660947	6.2347998919043	5.53109514306012	4.1452946638866
LSR	6.35800512207752	5.65157483776972	5.59428295982082	4.58269857772319	4.99033240586452
IGF2BP2	4.35914466145192	4.09147457136185	4.12929406482601	6.18422738643024	4.53062476047178
RGS20	3.4944816837726	3.52568156804559	3.74278527828037	4.4584569541142	3.68381499698852
SH2D4A	5.03865311976311	3.23454996227966	3.76375669127485	4.37098000958783	3.95450175250871
SPINT2	8.72658582440459	7.39399963043718	8.20133707653332	11.124620243249	6.45545294977561
DKK1	2.61408030088604	5.7053432981679	8.20434032939528	6.31653653604578	2.23816691478869
KHDRBS3	6.00745510024381	7.2226453206987	5.17064768020389	7.76274773360928	6.28537347882103
CELF2	3.4517179976143	3.09303788367563	3.88850993841545	6.3687165039341	5.05875369466111
PLPP2	6.46398716650545	5.65634566155689	6.22431923163156	5.24307613741099	6.23605759227322
PTGR1	7.33631261535706	5.79608568473179	5.20221634015507	5.9620947338975	5.38571828330752
PLPP3	5.55133039306416	3.52612871288322	3.69217345891314	6.31276489988969	4.56619171193801
STC2	3.53047252951888	6.72681097719191	8.97270131463802	4.29465697663023	5.94013027630879
GALNT11	5.18374409816396	5.65008279925292	5.70006923905092	6.79130906277939	4.77985821043423
CNKSR3	4.68185958353887	3.74637764651066	4.68555886069659	4.41982809343719	3.82737439509904
ENAH	7.03923812646209	5.62728219243101	6.62898225523948	8.07077981688228	6.18555246557511
ASPH	5.09523823104763	6.80256618909502	5.33138840502317	6.2876548332615	4.49164335545134
PARVA	5.12539852659319	4.18329140242645	4.76650695764777	7.55934435331662	5.2098041492588
SNAI2	5.43068248352679	2.89060748812821	5.24616887969024	7.81219976532968	5.64526718179302
FTH1	9.84282000940368	9.56600759397534	10.2534744843202	8.26058405968414	9.12458641399006
CLEC2D	3.22719520473318	2.66332095348893	4.65510724041174	4.32652749002102	5.74981795994787
SMARCA1	3.84117209730928	9.18156080754672	3.40715152926583	7.02368180782917	5.04980006741234
TIFA	6.23727910468372	5.41275645968525	5.38569923978947	4.14340194953508	4.32895534759921
TSPAN13	9.95249251232279	8.84557444755803	11.20905165218	7.80411196176151	8.99700238412609
OASL	3.77494634669946	4.51033891698422	4.57705271170548	3.36316555329294	3.5105647327674
DLK2	3.16724014479689	3.20472161049123	3.32914741069527	2.98011249756444	4.0997021010244
ULBP2	3.32261537811605	2.65807984613957	2.74354789289047	5.53070911344251	2.99525874957441
HES4	6.29909359127921	2.72500374405223	5.58604630346721	3.9214951022129	5.19144586105626
RASEF	6.5665552652232	5.13279235456963	3.40926534844786	4.76305345364124	3.96631856725554
DHX32	7.98466196409762	6.92746703852859	7.73139214916334	8.34974542389227	6.75910289265287
TRAF3IP3	2.9638416855226	2.40239094104161	3.24887188909598	3.74228673425843	4.34233229271749
FUCA2	6.34007033084055	7.7411435448926	6.05005603252785	7.32594342999587	6.42162762498906
LIMCH1	5.69349715605776	5.04275461494701	3.11416966013292	4.72161777311124	5.2069667517474
ZNF83	7.18079182897657	6.41428506527549	8.63233990962575	7.4135924142745	8.97845521605949
PROSER2	6.5322260002059	5.07320905981494	5.42677904643356	4.01444972944381	3.87677461631552
ATP1B1	8.50150764574098	5.51076903120433	9.81523821688705	5.46540106670654	6.52194404132289
FYN	5.37525307766835	4.82545507252974	5.3134079620161	7.2004823296148	7.00903512821031
DCBLD2	5.13377205055865	6.03941628868294	6.83179291316811	7.71687908356319	5.69348912432903
PALLD	7.64067501905066	6.81640525129651	7.65133902684382	10.7327934281705	8.04001658401582
DKK3	5.65072448135221	4.22552029334742	3.3369849599416	6.77513936913593	4.39556869317144
AHNAK2	6.79775030981857	2.88957914551023	3.07780144563689	6.13774406366624	3.5332019166485
MYB	6.95469829600195	6.77457740354499	7.21544196483937	4.89377025971922	6.32902749140332
CD276	5.8043726323657	6.00623502387056	4.67355321804376	6.63849243310374	5.32532162514983
GRAP	4.58485112990214	3.13103806827298	3.33216521737684	4.26843215444538	4.56381221357022
MYO1G	2.99255072371911	3.03864000198194	2.59267767013145	2.89504853999936	3.93749323593177
SOX9	3.8914659313686	4.16685463349385	4.44612545561748	3.72462707220595	4.26265734660855
RNF130	7.27262904300431	7.5767306126956	7.30863857305555	7.5982409937655	6.37598524732085
POGLUT3	6.38864836587018	4.75719354142083	7.74694800032567	8.44051586468119	6.61009156536229
PLK2	7.73997863304163	3.06806762619681	7.02942179826525	6.57447041796112	5.02595525453978
SPARC	7.83173835906724	5.34142190744723	6.85208013991878	10.9013693765374	7.21728048884493
MYLK	5.84349326458228	4.4443862539938	5.39873869996103	7.03517908262495	5.43147025306731
GALNT3	5.34018005592561	5.43823218994569	1.91933583926718	5.63234397625886	3.46809443727886
