symbol	TCGA-A2-A0EP-01A	TCGA-A2-A3XS-01A	TCGA-A2-A3XW-01A	TCGA-A2-A3XX-01A	TCGA-A2-A3XY-01A	TCGA-A2-A4S2-01A	TCGA-A7-A4SA-01A	TCGA-A7-A4SE-01A	TCGA-A7-A5ZV-01A	TCGA-A7-A5ZX-01A	TCGA-A8-A08X-01A	TCGA-A8-A09M-01A	TCGA-AQ-A54O-01A	TCGA-B6-A402-01A	TCGA-GM-A2DB-01A	TCGA-GM-A2DF-01A	TCGA-GM-A2DH-01A	TCGA-GM-A2DM-01A	TCGA-GM-A2DN-01A	TCGA-GM-A3XG-01A	TCGA-GM-A3XL-01A	TCGA-GM-A3XN-01A	TCGA-N5-A4RO-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QW-01A
GOLM1	7.35092922074565	5.65136864550966	4.07939910591628	6.3768179392533	6.05103799213721	8.74962462002249	4.26241233071118	6.48734130429949	7.17328112334049	9.0034309158881	7.09149075698144	6.0622920255489	5.06958624156641	5.30437548657693	4.67286729304498	5.27797410853978	8.64768891072533	8.31970920405674	8.37482308689001	6.58095438493258	6.85921383788857	7.04177427348055	7.04048750664421	6.85389027290665	5.26172876027182
RCSD1	6.89897163018281	4.29287117275002	3.10800836325178	4.66684862695068	4.85034580143042	4.87895960463873	5.36061291127542	3.77234377706273	3.0270902468758	4.32028213828757	5.26559483777125	4.33143102753386	2.47667961702328	6.1142576965422	4.42812232070511	4.46202437852449	6.87901207200024	4.16877595372358	5.95577235444755	4.25246224161724	3.88109624253642	5.16348686621014	1.47548226066648	2.22809519029541	5.56900436879274
EXT1	6.11035722354682	6.70709422898446	6.74412850887892	7.19231021865145	8.28164828222014	5.92489195110543	6.3527565298475	7.01556428516824	7.32418709068766	5.67585148260382	6.67936008146769	6.75677548792837	4.90980213034344	7.09720353736855	4.68121840395739	4.33655199928085	4.63127384275829	5.27235037938628	6.22263388875299	5.12325559991913	5.77893505216149	5.53033617555737	6.18472239621057	7.09720842188155	6.05967469444445
ACTN1	6.91842977199884	7.12036474640672	5.6555889572167	8.7145037803615	10.0105267214909	8.07895644544247	7.29461928769044	9.34915243741996	6.168380562449	7.56618075915305	8.01776821215767	5.59775643672475	4.66509395250475	7.90032467735245	6.85329662091797	8.53203859773079	6.51825408350026	5.06494054481077	8.01815689707611	8.06680416151159	5.93065717724649	7.46867851288965	4.94472840611575	6.08183357668695	5.43852017166335
MND1	6.48879491825283	6.93581381873933	5.92595923145419	8.51066744832967	8.89797094426597	6.02485560829779	7.23582927637923	3.76643497681624	7.17835812828365	4.70240973999479	7.11512206503025	7.2357051269948	6.3903038214661	7.49632460508074	8.63844168568538	6.75199812903891	8.53925857323476	5.39745010307836	6.64555526558296	5.5118158580508	9.31343818127349	5.42576776425003	8.65529476900153	7.72472669574047	8.71304977699832
RRAS	6.9443826878678	6.17899387624897	7.73805277850772	6.77396725118703	6.35428359848305	6.41284719094789	4.82390758061031	5.82727610555879	7.0248795483463	5.85812851231551	5.96828298558647	4.33191752949378	7.0951767463013	5.70538374814378	5.73048551748122	6.34255774372494	3.61485573921376	4.92838297638046	6.34753482416785	6.13731175430986	4.95494983040537	7.04800724187449	5.9625596332912	4.37450623992101	4.8222382507653
MDK	6.03970132786782	7.3668401938044	7.22896554859635	5.84648978855475	7.02560900249444	8.67200885309935	9.3466805935884	8.05014673997638	4.69882067948022	7.67479194177332	5.91910311059815	6.39466043212957	9.04210063448112	3.68253136493501	2.93887383074757	5.81278342281999	10.5099921206143	3.00149764795703	6.91987053977302	6.95023046392475	9.10457048427905	7.74154408584147	9.88228984338237	11.3589684556764	8.39448809839105
WLS	5.23699912460935	3.2222555531796	6.1241167942464	3.27515502024482	5.51575232279547	6.17475558521091	4.52624967817338	7.01506639370194	3.6030199167599	7.19100058662302	6.01251342434525	2.75195339211777	4.30517418956665	1.82179731718015	6.04444653156359	2.33164802713184	5.70516861218649	7.04981421853566	6.88645275945098	7.90713849791998	4.82843873760777	6.41283241923979	6.75350316198254	7.21032536066224	7.52615472666496
ADA	8.98863020183596	7.282352949347	6.62732307301879	7.68352625050143	8.04266130092124	7.14679696375748	8.18220463225473	7.78383822678836	7.89439252017252	5.3921801240244	8.40701164508145	7.80797755844998	6.26135741656603	7.30639825151021	7.15560475794227	7.28417794473966	6.91057733584373	4.17525251336126	6.42543661378498	4.81175555584814	8.71888472165121	7.76870012277055	11.5061052621307	8.09981512447002	7.66253042304131
ME1	6.40843849789683	2.00935005268507	3.89922462949081	6.00171889524472	6.34315704191591	3.68981258434203	6.58347563972221	6.27353579885622	6.20203639850626	2.70074233075951	4.02104109083572	5.27465326989892	3.5877230778961	3.46287831242449	9.31625007423988	4.6504771479564	8.95639538235091	5.57647667566352	4.51879279251814	2.60292204888638	7.32662276085501	4.09120844638068	2.99584534970154	4.60242112984194	4.71646920126322
