symbol	TCGA-50-5068-01A	TCGA-53-7624-01A	TCGA-99-8033-01A	TCGA-D8-A3Z6-01A	TCGA-EW-A1OY-01A	TCGA-EW-A1P3-01A	TCGA-EW-A2FR-01A	TCGA-GM-A2DA-01A	TCGA-IN-8462-01A	TCGA-QK-A6IH-01A
TNFRSF12A	7.17392506205787	7.47794032879737	9.34177298046793	7.61040515345004	4.64527391279425	8.57654667575891	8.91609336820207	7.24496633048134	9.04701731279911	6.41902110131493
FZD6	6.63421386143343	7.86620260975314	5.66668619295025	3.58814490787007	7.88342550995048	3.79621733133193	6.19122306314194	5.49188421699855	5.70446646446818	7.10246316197399
ESRP2	2.54931724976898	6.11277504821588	5.52398937258505	4.30692967586645	5.46193087871023	4.317809533815	5.67624138383674	3.87283106646733	5.95039527238095	4.30500601578997
ADM	3.92295096528058	7.84298009779096	7.74503198316919	4.97684465239134	4.03729231175611	4.33075845546552	5.06312117221214	4.24351701531386	5.89504845038267	8.69711001988674
S100A6	14.0999443390882	9.84695858719513	11.9495614300936	6.88650360187175	6.61499972944238	9.43646790338653	10.4545858567912	8.45529621650733	10.5326321561063	10.2068866747164
GLMP	5.49943185406846	6.48602648795545	7.08991120359511	6.16415587754802	5.82987501943	5.75976519735347	6.27021035578245	4.325243080307	4.60530041451255	5.0145790443407
ADORA2B	8.06853982823223	4.26772759765626	7.8523140808218	5.88892241683614	5.20293331579224	4.51296976245719	3.37046537731785	3.22310919244213	7.87533008589379	5.91846138824294
S100A10	10.0649278396986	11.5828055922589	11.4115592604464	5.62608932185675	5.7297243260338	6.9457300676749	8.14609731473557	7.30166267881459	11.8547482548838	11.476905374682
MEST	4.99914449401658	7.68791479665687	5.74970328532235	5.48495763256078	6.70973542653204	6.45219288851632	5.36069292749458	4.58103342726845	4.22396875523549	0.810993490011383
S100A7	2.10736556187848	2.54809858640362	2.95790735660706	2.10736556187848	2.19218496326533	5.48174383668246	3.89338411180744	2.10736556187848	5.95784375711311	7.3532111204058
S100A13	9.84107851529731	7.60652786102344	7.31075773853188	8.59820214050876	8.27657260887336	10.6828794650176	9.11835368995345	6.29362217438364	4.40039139640901	7.4385429608555
FAP	3.41178584459897	1.92320407493439	3.47104957544369	4.70666315398764	3.0772444860675	4.36521874945756	7.61731351306365	5.97087517244801	1.4287508411886	4.32027223513024
SAA1	3.8953723050488	3.6175809964153	4.33572338718806	2.96659516357342	2.18124772081134	3.80768249332018	2.64101627581979	4.7473762919757	2.27179425946281	2.85890546729332
MFNG	5.43976113072045	3.16973421739682	4.85905967753009	4.13373378141472	3.29653151211829	3.86248236048522	4.37627858411084	5.81490594182992	3.58878167854858	2.13490633447534
FAT1	6.56680967905084	5.63149306457512	9.41197933491484	6.09179810630231	3.68985217511413	8.00248869800936	9.27808453960689	5.82769067674512	8.89085133751967	5.91205817772662
SYCP2	1.8038735426695	3.06748530390896	1.7725954936687	5.17725201514511	3.49270339009578	5.95525136902776	5.26300344471796	5.60669645291422	2.63974443743519	1.52604399116939
FAT2	2.37669931894628	2.3964501091743	2.43066092536522	3.90328945644004	2.61739253261861	2.83665874037783	2.6228904525639	2.79525326634132	4.53369209268198	5.39021666877155
EFEMP1	6.73370621062592	4.87993600452445	4.60332363127775	2.97660318309887	7.21955989976879	4.7259849392874	6.65803010662647	4.12489040797476	5.5222267829849	2.08570824686327
CAMK2N1	2.6573772760207	3.43403756847522	5.1155635141444	6.21201128419894	6.13725328054752	6.03652321363865	6.98762170906636	6.94023928613051	6.73075655980636	4.65462598869439
ADRB2	5.5242036838511	3.54222526137575	4.02405495415135	3.14516976408358	2.88129593260221	3.8917357003913	3.34000108419707	4.46967321348378	6.16523966172051	7.82182354781653
MYL9	3.68543582710826	3.96035854047364	4.03903735686278	4.7594264039023	4.65413179552751	4.89952211639257	6.37687761682045	5.23705011887121	6.0674038759813	3.18790924178921
HOOK1	3.04421949412188	6.33825056711338	5.07557690375754	5.13957527630369	6.22448701845169	5.29107695547923	2.66611600311265	4.99847338307335	4.1197036049013	2.28386457446095
MGST1	9.19451302105309	9.1967871204361	12.311873856001	7.98071534393955	8.54953396301509	8.53024021451429	8.52581996903927	3.89527732601388	7.99765145263765	-1.88875505437718
AEBP1	3.16982540191595	3.8908538193953	5.06910889232651	7.68792499771725	6.08962844818181	6.6571033952566	9.39957225406258	7.90712962919536	4.73448339261435	5.08085519361095
BASP1	6.25892794932153	15.4625374981001	12.2471753009563	8.67810056309794	5.71772597279056	6.26394314434831	9.48013892050845	8.03915102750651	5.07154741597552	9.12157376973631
IFITM3	9.05619525139054	8.28474280096839	7.01703464066274	5.20647355161256	10.110356628017	8.34497372714995	6.90134024960412	7.71494334537747	8.43306997782342	5.94150112835321
YAP1	4.44680077850243	9.72746423690154	8.68853642941195	6.14680728051909	3.87007687727367	5.28600986446485	6.82224958029658	5.16885485103885	5.72307903692258	2.33569846714723
SERPINB3	3.81196113989297	2.58442571038219	3.50408338647854	2.54327648280811	2.54327648280811	2.54327648280811	2.54327648280811	2.54327648280811	7.10154444557827	5.8598107143742
SNX7	7.60747447687591	7.64870977557836	5.54986624085823	3.79142659019573	5.77456326314131	4.39401254232039	7.49522340192021	3.57635016163466	5.30754685782334	6.43330756997699
