symbol	TCGA-3A-A9IX-01A	TCGA-F2-6879-01A	TCGA-F2-6880-01A	TCGA-F2-A44G-01A	TCGA-F2-A44H-01A	TCGA-FB-A78T-01A	TCGA-FB-AAPY-01A	TCGA-FB-AAQ6-01A	TCGA-H8-A6C1-01A	TCGA-HZ-7924-01A	TCGA-HZ-A49H-01A	TCGA-HZ-A77P-01A	TCGA-IB-7652-01A	TCGA-IB-7885-01A	TCGA-IB-8127-01A	TCGA-IB-A5SS-01A	TCGA-IB-A6UF-01A	TCGA-LB-A8F3-01A	TCGA-Q3-A5QY-01A	TCGA-S4-A8RM-01A
PTGFRN	6.58343985710595	6.698597712003	1.43772415136274	6.25759077573951	5.36465153106708	4.8906690904549	5.2225485366118	5.30540382482677	5.87417866614276	6.42997148422951	4.92739340511183	7.84409979502289	7.00663341609689	7.58116943405107	6.5902032634425	7.13139125326303	5.78578617708641	4.45860856039389	4.8463112584405	5.13879468820386
ITGB5	7.08866978099945	10.5078285823657	1.62103538021726	8.29817671396233	7.67865677969275	7.03410157788561	7.44407964128324	7.64685271909288	6.89182727550929	6.27904202896184	5.98839343819685	7.08927823126623	9.34369407479873	9.65487964987275	8.81344910953419	9.87265952098744	8.22209362097551	7.32689925227024	7.35500355979584	8.09113673058337
AKR1C2	4.29752261771032	3.66486150071472	0.356146204315118	0.200827398391318	3.00119319441993	3.75960016325638	8.80067573576523	4.75031342668799	5.33251374924711	5.72618585667596	5.03698002013501	6.27502220309637	4.51136157729026	5.41963791837385	5.38821331068336	4.771248454522	4.78464152708702	1.97176807445465	6.21178469016207	4.63655921296342
AKR1C1	5.52624303029621	3.40703601391972	1.81956801529339	2.25442692540577	4.30171613862955	4.88548727841504	7.53731255785048	2.79958032560626	3.66044521433901	8.48930756427461	5.46180514151645	6.65046408859324	4.76505393720226	3.50992981670969	5.88476007605227	3.02402233143801	6.86084153307111	5.05939062198896	7.02152417554477	5.18789436258702
PXK	5.21895021017063	5.05190749887214	2.63019120263581	3.8599257242231	4.0541528246652	4.0860220340065	3.99480640326267	3.37079025387704	3.78424449955337	5.43474148083162	4.11118369370291	4.697914171162	5.00341314584976	4.35237630820023	5.085760438586	5.15174639304157	4.91845562774314	2.73865118300557	5.59202153388969	4.65953922480759
PTK2	5.74951110818271	7.20245978542009	2.99786108377064	5.86072964473223	5.0747325679967	6.34186045861347	5.2926275198402	6.2822054256253	6.00697938798544	6.17498031836151	5.29551199282397	5.92581346570612	6.62592417686285	6.22860076065008	6.85331623743446	6.58658681747389	6.59025945443407	4.42341144050076	4.87793475063352	6.8458817532134
ITPR1	5.65480391374026	4.72784247524945	2.58156499985965	4.81920414589482	4.66172457911243	3.71171307827201	3.6337904344545	3.4603424236993	4.46945861076516	5.41376410352733	5.2416621631611	6.86148027631901	5.4975061032464	4.82294568906852	4.88884255585079	4.54728003399827	3.97668879097959	2.70408647276129	6.17277647622944	4.57416811105978
LAPTM5	5.70233644027329	4.43015359378777	-1.88437334816828	5.10103020415107	6.01755763145375	5.71649788376116	6.34292269276536	2.18267363907126	4.66365272016287	4.57789795429187	4.92065426098342	5.01014420033884	7.00595546707149	6.41264212869866	6.45219128350411	6.71539617133096	4.33659575026382	2.01685601039019	8.93806662499898	3.40893837457139
TWF1	6.43385645862689	8.09758926927214	2.51194802226785	7.47387235996852	5.85561635007508	6.49743518915368	5.31605249721098	7.40760485264947	7.17305297751669	8.09078496235801	5.96352458541305	7.0642207050406	7.49693142687598	6.45461561777103	8.45069975260716	6.8476484979379	6.7658356585618	5.14924233055659	5.35387500822585	8.11211919555656
PPP1R26	6.23097766770151	7.14341785382219	3.70593494985391	6.34619705580428	5.00356040967883	8.0065770019169	5.76281887296989	6.14086839389145	6.33928603793916	6.65712099816852	5.20579107554521	6.35932386506147	7.77624671717511	6.720264906819	8.03578978065934	7.05908248721239	6.85528036755561	6.9827681835515	4.38348727884969	8.33691089864861
TBC1D10C	5.14926806814274	2.5795504474345	1.32423930238538	3.13065875134534	3.36145609389354	3.76496622447769	5.29153382698923	2.42655018557151	4.23932859985887	4.40454342150611	4.95800464625071	4.03966542521777	3.0055813251704	4.44134992651983	4.30756166192414	3.83058269072774	2.23940824890982	3.22948555176483	8.082380169231	3.96780879596552
PTN	4.67535787527484	4.44654985063853	2.16642483114523	3.79800874537103	3.66700876548368	3.06958119715077	3.6835152531906	4.58957968877569	4.2899344844172	4.85094150561207	5.65885512667146	8.79625479014239	5.72392248942422	3.46941085582133	4.16483859813276	4.85960057056822	3.40786735687305	7.23632809207189	4.16074881069362	3.96854024118305
JUN	8.10265940552692	6.87263279574451	5.10365544822003	6.40766700782907	5.7573653361658	6.10065762009229	6.25561631963918	6.12832924329102	7.34990551650331	5.72026318094709	7.29972154290239	6.94245657977704	8.03308237780568	6.93555079272901	7.21665834929189	7.04202381174735	8.06387638033329	6.57908597744127	7.9477710900646	6.56641225639265
JUP	6.60971658339168	6.14877795206105	1.39729696558629	7.73593848598593	5.69330994223068	8.37553356204713	7.26176165734533	8.06769986279567	7.0357396908042	7.04770251398557	5.14959821872374	5.94699343486438	6.4246331569674	8.62592282094947	8.28056469963523	8.69779791509007	6.52851169680587	7.36438099010122	6.95931560465027	7.75036373220269
PTPN6	5.5655834048144	4.5458396242712	0.97992496402206	4.94725652549825	5.41246399675003	5.9060413913049	6.1129891127841	5.48181976881656	5.98691514321371	5.56721702601787	4.24928239031835	4.63777539335043	6.24006952279216	6.03387471911588	5.97507923331851	5.66529224984642	4.06314941382722	5.09295063848862	8.49516976304498	6.22857045722733
PTPN7	4.29253011474653	2.89678109105832	1.68205888870119	2.87667757757596	3.19409504664541	5.54312175594807	4.32683092109882	2.68825582425089	5.14062055929544	3.93576478536884	3.60607275463843	3.3931915865767	3.53185166441035	3.88764924711411	3.8207034013974	3.3156124555621	2.75698120416695	2.09998777176449	5.41668286699292	3.48896787371053
FAM117A	5.67077896558331	4.39729432829694	3.39745007607064	3.94288028679772	4.99126183734976	4.6273392746593	5.1736610093091	4.98048015673914	5.01841095696346	5.50887198043193	4.74703094457671	5.64429304529508	5.18320598049206	4.76091900835424	5.04310790710865	4.42635793456055	3.16705054007158	3.69130177229571	6.82067307433185	6.1112417913322
DUSP23	5.49395579448468	4.91382177174899	0.998500561236285	6.86269248829419	7.31252017436593	6.74046695017294	8.49171714974277	9.33892299978882	8.02267849362848	5.92304063922827	5.99892417811651	7.01398238286217	5.05520901546421	6.8821902059728	6.13218126971784	6.24625974470551	10.8611980888893	9.5943111368515	5.90581955592354	6.63573503584282
PTPRC	5.82188238734407	3.50744542639216	0.136538903990117	3.19087624309255	3.94799318438751	2.99028509018254	4.04616505108519	1.08575862325932	3.94633630024215	5.82685662324642	4.43890061151758	3.73684687272719	5.67195434794928	4.61579506801073	5.50577097086543	3.85159721949816	2.06884877171035	0.437751393482893	7.51807657866723	4.08424249009994
PXDN	6.47085990345952	7.63920002153635	-0.42945118021574	7.71513787542156	7.67883481580068	2.86842755270955	4.36124617640382	4.9268559180631	5.77221444481452	5.70475103421091	4.60293853782458	8.20525690382385	6.9263432018894	9.40655638346082	7.1931311517039	10.511983466487	4.27768982385145	3.65442893859954	6.14401927004012	3.5342795183677
PTPRF	7.13065700669693	7.87036545250371	3.9778534271171	7.23555430237868	5.71713075705086	6.91039197922493	6.71428132924277	6.56186927380672	7.50474329076958	8.18941730385373	5.04416690483367	6.84288831423807	7.88005284733399	8.25895904066444	7.39440511245316	7.02538462479047	8.17539454180256	5.83564583202817	5.19738235927142	6.99182071862057
PTPRK	6.94979756743345	6.71527274216307	3.48893348678213	6.72723346956103	4.72534202270901	6.37208735672433	6.17073803214905	5.18900410408292	7.13961348000513	9.41723727816552	5.37692800007129	6.83406165796061	8.67437529465916	6.8230195219326	7.46561901440729	6.92468848855526	5.75890617038714	5.24887309386188	4.19008620627439	7.49976474915778
PTPRM	6.54617647134129	5.55443273651163	1.98299832200203	4.49793791394767	5.09458869186779	4.29711468062622	5.78965384958096	4.78552891965453	5.25402702690204	7.15439136889106	5.30393938227338	7.31646655173284	6.48071867436224	6.37007628383265	6.25223322193711	5.30587642533239	5.62494214055616	3.1390673239601	5.15450729012177	6.25896779116087
CXCR4	6.51839455611601	4.28123034850619	-2.13583991021617	5.90937204236871	4.20886417244656	4.33400751372313	6.1812352132871	3.59997670103069	5.58267517080553	4.67466797897919	6.34641087973761	4.01532354785351	6.12515780961528	6.48077174264439	5.65196205874173	3.99850396171187	3.81477323514559	3.82850071099461	11.4027345413965	5.88615581310596
HEBP1	7.61008022341918	7.85727261560881	5.62135534105102	8.1651684545031	7.51491044395979	7.40498841543972	7.69002067316284	7.42548667396793	7.68217603134308	9.01098380707129	7.76066930832298	7.3434308610078	8.58388746030269	9.14633626478448	9.26690734674982	9.00292859384841	7.08477471655323	7.35282992983229	7.46661172079542	8.61187274545357
SCG2	7.6327059333156	2.65305898020544	3.69637365821869	2.5016680265227	4.91858297798703	4.12075231980057	6.11899642193911	4.34700619579828	3.38886162049751	6.03718504634202	7.3895169877687	5.89700528344573	6.8038521177498	3.12449367522279	4.37120167583252	4.05364291109326	3.99689628079114	2.53858090479823	2.77506223457769	3.01257671565849
