symbol	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A8YN.01A	TCGA.FB.A5VM.01A	TCGA.FB.AAPP.01A	TCGA.HZ.8317.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A77O.01A	TCGA.IB.7644.01A	TCGA.IB.7647.01A	TCGA.IB.7651.01A	TCGA.IB.7889.01A	TCGA.IB.7891.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A7LX.01A	TCGA.IB.AAUO.01A	TCGA.RB.AA9M.01A	TCGA.US.A774.01A	TCGA.XD.AAUI.01A
SLC17A9	5.24866585846109	2.63211051532193	4.00206623817148	4.13001398117659	4.44674770925093	3.39520706006246	5.32127499574444	3.72552773887274	2.36557682811462	2.10441607964038	4.34019581670367	3.24956144724686	5.88395355740313	2.8066879030621	4.17593702730474	4.25224272368319	3.99862724860312	3.20500524763196	2.97348060317	1.95810666865713	2.49523952458605	4.80694574364387	4.91217412468772	3.18765135841376	3.86998249506014	1.74690548962224	3.98366454909828	4.40320191374217
GALNT11	5.30535475743943	6.23133147253135	6.38489325868924	4.88570862734156	5.50031115756603	5.6069415924836	5.69073169268549	5.9918158918097	6.5370567325567	6.7021606043828	6.07729400591394	4.40147742429379	5.60663387534072	5.47652556285889	5.98467869429374	4.60340542461707	5.85719577396201	6.25437994426366	6.70526356173507	6.02380916809215	6.26540635749596	6.03702700906869	4.74524608292143	5.59158172067162	4.49464098199899	6.4830240670661	6.52493309549173	5.89921919974589
TNFSF13B	2.73457468999337	2.33149942367394	4.067919369705	3.34772229820619	2.40855768595578	3.49438753731016	1.93278530028815	3.58675549628232	5.10192746665799	4.37044464144234	2.5519475172452	3.55122774331457	0.839670343430914	3.69162485079545	4.08311020429003	3.14950540116425	3.47717859858789	4.90170799268991	6.02911529955233	3.83800328764193	4.85764817796408	4.88169185881461	2.77373875353451	2.66393990907474	3.64240741253616	2.90332596512751	4.52592670560691	2.28642993687384
ANKRD1	3.42676346415631	3.21179088146499	2.62383483487039	4.03549976785	2.6408904498426	2.47765160229125	3.7292849562099	3.11170239971417	6.07359770369384	5.09341883179218	3.66412914294912	2.85698661162101	2.00580343143176	2.81404567484112	2.47599985516958	5.2617419619745	3.27696779399745	3.04692328419506	2.63222757733842	5.32885853414056	4.64015822079178	2.38924866316959	2.51420408535316	4.84550615214848	6.73565539438336	10.2408063279863	3.79956950081719	5.07761826724385
CNKSR3	3.81966592127197	3.5886391674323	5.79479999406836	8.48355584230034	4.1621151411958	4.2676288148083	6.00863264353992	4.20621882140935	7.17797723521588	7.77152593930505	4.35620216051423	5.91059361116322	5.04018096867214	5.82511756488236	7.21354677493831	4.37315905929534	4.96832935747271	6.81650869431484	4.78201055630606	5.00877694175502	5.92711545524936	7.12384135939352	4.04746087971078	6.05700501482114	2.84939842004254	6.11437340761582	5.33843278479192	5.85470517804419
ENAH	6.36423841147073	6.51395090254356	7.06794261658568	5.52148216412059	4.52902088393413	5.5129015152068	6.9939810745659	5.89655062754395	7.50773727805825	8.74340664893775	6.37850526633836	4.68167364670345	6.07247953502272	7.15178001715464	5.73065002550334	5.71030230730443	7.93180999537747	7.66020570976524	6.37851241114262	6.16675030669266	7.34239986726054	6.75726454502349	4.91618131335858	6.30142847324612	5.9189850788236	7.54282029992104	6.70255208686237	6.15803554478276
ASPH	6.46113883521379	7.07319224769705	6.59703773370912	5.73628061797598	5.23743090076627	6.12149363289226	8.10894087181507	4.65309264562996	5.53456514498897	5.41306742608852	6.98501457268057	4.30982734652757	6.72020495204458	5.38846171417425	5.40461779717252	5.22734222340934	7.28693413698239	5.94107365681901	6.25026243943452	5.24987192103337	5.5676364932258	5.88225753270874	6.52278209818867	7.25345011615822	5.15519338424479	5.95915455170693	5.25720687828093	5.30429663541611
PARVA	5.55758945993452	5.38445918359384	5.61465151883234	5.49180358101749	3.41682724932007	5.44021542793549	4.9658799296163	5.83015692750963	6.27628778844217	5.9584028320513	5.76050080627838	4.87317122680768	2.54668344356133	5.19525162029476	4.80997536249209	4.60926006361786	6.58978264957327	7.0113320512727	5.88467819287337	4.46884120885184	5.94271444528071	6.35100202332572	4.65673254408785	5.57045784694345	4.41607461587621	5.66366966764164	6.18678557683691	5.63024227033497
GRAMD2B	6.70478968968558	6.127268433221	5.81206726729704	5.94902761118036	4.67937322537199	6.15404578519764	5.98796594116266	5.34135177064135	5.12042608442284	5.84929475885582	6.10436584544326	3.93480104371453	4.82368441701524	3.7170070187156	5.2566392713154	4.09593075149888	5.38974087917364	5.96036151710642	5.40035102668955	4.42556296570261	5.10950079996805	5.49946980417367	4.38829788722835	5.25299014722781	4.38996727073551	5.45246432264476	4.93360616213974	5.068044498933
SNAI2	6.91865931192838	7.95685144818528	5.49735377763409	4.07079887206122	4.79454042741336	5.87957589038618	6.50241761363934	5.85043640385553	8.11989862760779	7.06449059184196	6.66502629966421	8.84325202598984	0.964619289446242	6.15895489300248	7.57437219747867	9.87887533404786	5.49654217358832	7.41463431912011	8.59274649046067	6.03225415755839	7.219805721652	8.20815924769001	3.39494168866789	8.53585927671195	4.65429767008448	6.36745737020563	7.14711346017099	7.31238719233104
FTH1	9.17589447621896	10.860750098458	10.1034498494775	9.42669955613735	8.56503276136164	8.87103600677481	10.4900551052629	11.3835338288264	10.3961901939049	9.72603999067746	11.6086695765162	10.9272360966222	6.82896614011957	8.06173436124011	9.69494395063166	8.77495822905578	9.39757048572348	9.20650845405651	11.1594711494814	10.1701527710445	9.41049831125363	10.6780280489966	9.45803799673685	10.7670354473997	10.3369195847657	9.42497986323814	10.4839665252134	11.2719257763917
TIFA	4.36976977423292	4.67297183138361	5.23829243170368	4.37395576005521	4.34288595367016	4.14865965979615	4.92492856465188	4.28684660593227	6.03464538150843	5.8327617948999	4.55512633286473	2.79083823832743	4.46767998060002	5.43919605748168	5.64659508760148	4.70406297702542	5.49605303214744	5.80028624559001	5.52549816887967	5.46165742176505	5.96909779862365	4.3019168243557	3.39670524190124	5.43962366603384	4.07000271315394	4.64675819435414	5.39899847696806	4.58835802755401
TSPAN13	8.29113958825767	7.13623706392213	9.06248573032539	8.25384208072092	6.2194513340531	7.75724769726864	9.77998680475603	7.75141330903988	8.62101312570364	7.56816177249622	9.31326524435205	5.91832666840398	12.4213191997002	7.77453160100948	7.36952490233426	7.18087471171271	8.54167820838648	9.04503632682355	7.34183177683637	8.48859712027861	7.86336088277943	7.92010176042498	9.39820516413248	7.53869526625005	5.40779239806397	8.87674233407128	7.03888960342428	7.86046530201909
