symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
KRT80	5.26429573313815	3.29148676968986	6.65763036967311	4.30525531909116	5.03898150952698	4.00878161197703	4.67505231823664	2.47175662258848	4.86160170942947
GCSAM	2.48570968534258	2.20771064348754	3.91595847126843	4.34868850680592	3.07784791895103	2.60773711721514	2.51776789725953	4.82971065096853	3.98972066476927
CKB	6.2485249043531	5.4770979842502	6.59376169050708	5.89858300105565	8.05910522852022	6.32240221701525	8.87417845974265	7.41943452058126	5.14898175432494
ZNF462	5.47007115349689	4.60229822514662	6.00395106908335	6.38325357447319	5.56065794437641	6.10379802637469	5.98526129360265	5.88231936763466	6.80198595359795
SERPINB6	8.04646110317521	7.68587852909149	8.22385648648621	8.86319037069577	10.0276365710045	4.52953721150832	7.25944635463532	6.33350683071625	8.70444542584134
SERPINE2	5.60469137487926	5.66135004266946	5.91712025913825	9.3659998433318	5.54847524735207	4.82908651791772	8.08389945283188	5.16618212944735	4.3084985660014
METRN	7.56598528670843	7.41284712164853	6.38211417602397	4.99847445452129	8.67978993486332	5.01047111323598	8.06113867772733	5.05060376411347	5.73863075803381
HOXD13	3.21496710498741	3.26692809811979	3.21496710498741	3.21496710498741	3.21496710498741	6.59778049776353	5.67740219286248	3.24031922014279	3.21496710498741
PIK3CG	2.7499388725928	4.87807042538124	3.17776606332507	4.58209728313117	2.16592842488013	2.6752754087422	3.0322950145104	3.84446473744632	2.9262158037598
AHNAK	7.97201493103882	5.59942642601515	8.11034129349828	8.45340894749884	7.22324117153161	4.98451303187321	6.43797112131224	7.37135543085825	9.27741145894684
RASSF4	6.17057610648137	5.45683988985607	5.24250992233493	7.3126028099519	5.34635575543979	4.45025534604338	6.11790703475218	5.06569375913932	6.22764264173091
LPXN	5.01075364004235	7.42955122189748	6.3479406120936	7.71714402121261	6.88119694032263	4.73160457420236	4.59226651959515	6.61681097456044	4.42664145678387
UGCG	8.69444228953058	7.67802856547053	7.72922086716236	10.118774307151	5.39128037048069	6.6594657480329	7.53632286644735	10.6785812938841	9.60396006966343
PVRIG	2.51394108816713	2.34240509919993	3.59214851470887	3.52163634819083	2.86248863965376	2.49503645928884	2.1310076459264	4.7623537745991	2.83738990625748
ARHGAP29	4.49490466006678	4.37761274935971	4.57135845459501	6.18879430942267	2.86545611151093	4.08244863331139	4.64466093105631	6.23286721271085	6.03831674151516
CTHRC1	10.0206270807762	9.08727961944979	7.29545234879709	8.30823654431694	8.38129313461956	5.94347794877249	5.00987732250688	2.49300961784576	3.35752944740747
QPCT	5.55784401055608	7.40060115704192	4.44597948060646	7.27306834940468	4.81924785087991	3.92876199730708	6.10903410477904	6.38451283967482	5.37924005158512
SLAIN1	3.90960188914958	4.76321428263914	6.14445177676037	5.84850544644152	3.54221865498473	3.26700915824206	5.96398402988205	3.09634208007486	4.294616621797
BAMBI	7.37547954304259	7.25227732910206	8.39807782763945	5.44010448779343	7.60837603219303	9.67238243060782	6.65452071164508	6.99197783601862	9.22526409663206
PIMREG	6.94591307249584	4.84401783897226	4.9811475714604	5.95668180731464	6.44160666866577	8.52333664893049	7.85389083285874	5.39804188222301	6.71136620485729
PLAT	8.31410193416973	5.97621335207939	11.2225252244433	8.34695825192407	4.63080138778954	4.67404447892873	4.05005437777488	4.1767735214342	3.73190214882592
PLAU	9.94711205872576	7.04375845693254	8.00250102585492	6.02038583942902	6.92146316243864	2.88056560973734	4.87968124629926	5.08235624508487	5.46466468365213
HES1	6.71426984079371	6.60597952703452	8.13451005333117	5.48102846391486	5.84085067248962	7.32734342463999	7.59876403281526	5.72236474172213	6.17485083182364
UPP1	7.76896597417367	5.74205031155316	9.63672127700514	5.55453604756639	8.54534598814831	5.39545541176861	8.87898262195728	5.67737377267114	8.54320121509756
UGT3A2	2.69109540813612	2.63813317212593	2.93351916517551	3.53353583851809	2.68050619020001	4.56666181339678	4.17926530841579	2.6755235398772	2.72395220357169
