symbol	TCGA-3A-A9IX	TCGA-AG-3593	TCGA-AG-3600	TCGA-AG-3894	TCGA-AG-A00H	TCGA-AG-A01L	TCGA-AG-A01W	TCGA-AG-A01Y	TCGA-CG-4444	TCGA-D7-8579	TCGA-F1-A448	TCGA-FP-7829	TCGA-FP-8209	TCGA-HU-8243	TCGA-HZ-7920	TCGA-JY-A93D	TCGA-KB-A6F7	TCGA-VQ-A8DT	TCGA-VQ-A8E2	TCGA-VQ-A8P3	TCGA-VQ-A91Q	TCGA-VQ-AA68	TCGA-VQ-AA6B	TCGA-VR-A8EQ
TSPAN4	7.31323186716847	5.28096895389784	5.95413591394978	5.53555103092161	6.06035344869514	4.80724096930555	3.86396703202751	5.5523045728617	5.90266554477755	6.89997806162735	6.65954673886408	6.227143788087	7.96364231441538	5.0945428264452	7.23463383818088	7.04198870630264	6.27215567147098	4.42269840037917	7.4102636582848	5.89777001487555	7.15846903414945	5.77027740150798	4.00727671984062	5.07103011605094
SERPINE1	7.48940882055123	1.47516297937224	2.31664734956179	2.60594056657283	3.17196981075354	1.56079451665966	2.13931842102114	3.01166902911944	4.60610564225397	4.41824297443266	7.86698424191871	3.80098626059633	6.30326882865827	6.77077432163371	8.57353404448549	7.8886337008653	4.76928133906907	3.35133816899662	7.26016669674022	3.28645542676626	7.89588724258773	6.46056930161103	4.03322044982153	5.24994775792781
CD59	9.65239299026007	8.2492110754247	6.8185469087622	6.78880110027126	8.38647184350751	7.45258248719021	7.13891941855686	6.82907478684437	7.58210071895523	9.04935720682761	8.35501083382444	8.00499574727386	8.91870978878361	7.07970525493743	10.5454438212733	9.60432151802956	7.3197996356673	8.76856439008362	8.42108848285899	7.46715745453717	8.74139663200119	9.19347906974567	7.35729423552721	9.53075408333669
CD70	4.47236081679816	4.91380044369249	12.7194413505792	3.87994431697787	5.50047250153654	3.48787121306295	4.85279666983588	5.78711177891344	3.875901296216	4.9057530233435	5.11234434179429	4.51125692338193	4.53876261398522	5.18476354451756	4.55289167334908	5.60620552161727	4.94083532238608	3.80621625454073	4.55492031102631	4.98696488880909	4.92964318401313	4.65372697341635	3.85183212617262	4.60438222856845
PAM	8.29374187395603	7.19846575737893	6.5185742730454	7.50385055949041	7.3255992702112	5.55557023084983	5.8778839008915	6.28312212887931	6.253280600595	7.85045489759375	6.95614822501653	6.49606593321978	7.98360670024453	3.80340570493523	10.2719014251669	7.70757164965136	4.90469320685481	6.15070734377863	7.74223897907601	5.30767970617558	7.04311162689337	6.5844849018072	6.19592038615996	4.90308557537084
CD74	5.92426296693706	4.14726933225201	4.31189078290987	2.76159844526742	2.20121539026895	1.25684520911016	2.74192379365437	3.67553419869985	5.15223176194113	4.99585637043063	5.25230077145281	3.49424379041664	6.69377793065307	1.47141643197404	5.98837017833462	6.3034300379341	5.17021209908783	3.86216461841573	3.87481611105788	6.98062435801274	5.65097438500394	5.51444216586101	0.956703841182946	6.48965036652042
CD151	7.6107031541779	7.63089645180672	6.32120696505793	8.27273958480354	9.20424260275911	8.43594412852266	6.5349427900236	5.86520342515868	6.09658464933261	8.10961957009176	6.60632855328647	8.60602603484356	7.72129121843916	6.05672452448487	7.18211354621145	6.82768013133035	6.69415572004918	7.03774169739173	8.91235905179645	6.78089657149184	8.32735381697789	7.41926478538852	6.89082831505264	9.02751668485329
AVPI1	4.41678704677542	4.91629398665814	5.72580401419885	6.400417805352	5.63104038229041	6.32539703377397	6.10822143819463	4.85955041981947	7.6354700051608	5.58817568954898	7.32186468508119	6.62621085896924	5.12574334689092	5.93589962020504	5.01828735811266	6.35423739411262	9.45259570571051	6.4478259873353	5.0018016472562	7.00882361022547	9.18137898541157	7.20098611802298	5.76522056856651	7.82026199140659
PAWR	5.96177304314076	6.25155482782954	6.43640465545104	6.20905202611476	6.15994865996419	7.09868153812809	6.56440863110217	7.70219168142303	8.95217261997314	7.22320389994345	7.02240858499346	5.89567560739945	7.1922880432496	7.97129480564399	5.33868599333272	8.44728089447259	6.50373164017631	6.7767763223268	7.60278988935266	5.82099798959693	7.55673437910172	7.49290984303483	8.17963086851471	7.0191804999651
TNF	3.77279684481739	3.82296747040098	2.8218368874696	2.78238402273912	3.90158582287809	3.04952026039701	3.02489902499667	4.1999097912931	3.90177244363061	3.95062947935411	4.53248101885413	2.82902266976869	4.34461009390054	4.31575254180461	3.03825575328405	3.474995933247	2.66002019662108	3.06641355794186	4.01900327539685	2.73419060880868	2.95786834707566	4.12913286378182	2.69780937293733	7.84089429546807
TNFAIP3	5.99608929049589	4.85225427580919	2.61187390143053	3.6259053637158	4.47077472164555	3.64432193545767	4.59553805788754	5.84613735655354	6.67808685012791	6.69518429937229	8.12430194374567	4.416092704445	9.11834065979929	7.3447320853848	6.20714735420881	7.51569817877378	6.25345168002338	4.0937857980705	6.78404448265555	4.49085487717788	7.38392592820167	6.76222995278235	5.63399231431486	6.78224546737345
AJUBA	6.69581536243467	5.23628710669971	5.12675903557302	6.14200263199747	5.84748073457948	6.79130224782845	6.90481031650824	9.31886634660101	6.91704824440097	6.88733048388129	5.24603271800426	6.60742751945165	4.90820698426223	8.06946895597706	4.55550231175216	6.44064802864824	6.08188853693919	4.32075889810218	8.43134515599349	6.32779861770226	8.63752661340285	6.95596317822096	5.78982739276311	4.03296609674924
TNNT1	7.31320720018783	5.84210535596356	6.96740576381554	5.8235409081933	5.59011538914152	6.85532272503877	6.49699392434373	5.59011538914152	6.46206570335932	6.14871436984368	8.23268178145807	5.59011538914152	5.81172844235737	5.98494543241654	6.16892115310239	5.72182469709054	12.4493622815309	6.17149657199491	8.10726142886844	12.0519895876465	11.1757633200653	6.11287176617218	5.59011538914152	6.47926536956027
PCBD1	6.10925014428678	7.47297209665417	8.2905017151275	9.08920360195163	8.10478618780488	8.22682087494597	9.18035524480085	8.90642848036185	11.0521888251481	7.16031630179602	7.85683933050864	7.50575277864962	7.11960863438506	7.62823426009835	6.77477912459815	5.7543539817241	8.75661860112883	7.90852301714454	7.57784722415158	7.2752645565627	7.69749330268401	6.04641420379964	8.51304996922396	8.97467803034519
ARHGAP45	4.5782303387519	4.78759263514442	4.24519004069583	4.03518802323727	5.14928451869361	5.29768475057762	4.3456654341539	4.81000608319907	3.23757664209263	3.92205137958012	3.40873707569194	3.44097369282733	5.61129968958012	2.73913803303001	3.56950625474813	4.80352404692466	4.07333827709193	2.05166563446306	4.5937708391564	3.99467603187737	3.3948824054922	4.03439769637681	4.64807746227882	3.38669216408072
CDH1	3.97426292353264	5.3198280256607	3.34022318353271	5.15038273804398	6.19128461811843	5.49262792888893	5.98346112222617	5.95913749108503	4.54233844115893	4.18757147408169	4.41480331092459	6.39143275388708	0.395455212681899	5.14889305942412	4.54502353029633	5.33822775991598	5.67297396095437	5.13468756192468	5.37984865958643	2.42262384962118	5.84723242047654	6.87520986058804	6.04283247798951	4.88181370324889
CDH2	7.36122284962241	3.4098644793867	4.46282040926206	3.67205617338588	5.23107430708802	3.90451518647564	3.78303155088027	4.47572382756858	5.11257145932514	4.47170503329279	5.07167565122784	5.25733295072456	6.71671200794907	3.87689093157858	9.7411890634557	5.66071067579577	6.41463406972126	3.68847238654017	9.96321547305024	5.02088425071753	7.22436595389872	4.13349239722222	3.56274581225679	3.53229056555152
CDH3	3.79463177689579	4.67402813877282	4.88037521641792	7.10159863306036	6.58213381398243	6.59236052772093	5.35248410745008	6.33520102999766	3.54643128369461	4.94021617231554	4.82871463020487	5.12949736707762	1.91606083602134	2.69079169348326	3.94807331513449	2.13102443923078	0.509138885800638	4.15054244759719	7.44554302418254	4.33682397252783	6.58306646190889	7.57990092985937	4.45839491537953	7.36370627516236
PCDH9	5.04166252796421	3.06867605627431	3.20445773121059	3.1642067423513	3.32014786037721	3.16882116385966	3.32659934530126	4.92070040111728	3.15547061703031	7.00036496829655	3.41157498462951	3.19373664660484	8.88594587869956	4.74817961003752	5.94437234347107	4.71027561234548	4.49171229854716	3.47909725500183	5.55212507461665	3.45999916692265	3.8880218894836	3.21961366390815	3.12221640647172	3.06867605627431
HACD1	6.95215237249789	7.56992698681373	6.26663400496028	5.90915299285177	7.62699830285084	6.1083574885739	8.52685003572349	8.48882532456702	8.3863207712774	9.14424504076974	6.05868918482814	7.07277722887824	11.2243763053826	6.72631003537534	7.3694258611262	6.48158706551008	6.09304911190187	6.17407060067852	6.84702493344016	9.90964271947263	6.62651168732958	6.10256533538058	6.63941248642276	6.73420496883041
HCLS1	5.71030809187014	3.84584789122698	2.80601111727895	2.02184157821059	2.15933202231005	2.10034441566301	2.65114635373113	3.48570547331134	4.50551372481062	4.53500639105142	4.60779879469474	3.57086137392333	5.75928753188024	2.81037208042276	6.68839448758793	5.80906041157392	3.94274088591106	1.97855287655721	3.52418807536971	2.47548455520948	3.11435468524214	3.21738869064778	1.96924151469815	3.3007928599535
TPBG	7.09028837776055	4.52329137136411	6.71516360363009	3.48872900846298	6.19510946336925	4.46552070421591	4.06477410897876	6.40986370191055	4.12163988108083	5.97403209004928	7.317126521645	9.13647149485397	6.28910309021057	3.26235349856593	6.65974611094007	7.87188843783749	5.44035353577383	6.33159086380595	7.61160225991909	7.89566967210039	8.60376541465255	8.82761831402136	5.68640323496215	7.35780839551909
TPM1	6.23690624314586	5.20091134919187	4.66116365427356	5.75757546829442	5.51157133878287	6.14587653965698	6.0543864646259	5.40431122055396	6.93585941631864	8.67506635033019	6.40921718539758	5.72889453554857	9.96809553291731	4.33383727953953	5.84988479960011	5.62635872670803	3.66939547417729	4.72356377728181	5.7977386698346	4.70015318571842	5.15253552628443	4.47244413881768	3.80026878881865	6.03259823414518
CDKN2A	6.00205925405216	3.70312533169341	3.45874514742681	6.62139063160441	5.27937897653198	2.82233828446321	4.93375784177563	4.95869351267337	6.70854037683169	5.97852386898963	4.52326257463061	8.39825748361919	5.21683383810292	7.6259568720121	4.76414413522497	7.8700478730412	2.69912400830258	3.15583421091928	8.13877262101189	6.30885391846566	6.41261957597517	6.6264684029399	4.65653928757592	7.3004934933194
CDS1	3.86202827689656	5.47747132374042	4.95768365030689	5.23893951461207	4.01003465932473	4.80303913133704	5.12601817459716	3.23563580455637	5.62093409969891	5.17277271009393	5.64542296725508	7.15937825978916	2.06598912065834	6.3244824212612	3.7076988436555	6.62162708379981	4.16635116757642	6.83794802811716	4.76642735434836	3.78988005743131	4.81340964089339	7.61678353017535	6.33915797737849	5.94447972244576
PDE7A	6.16380472491297	5.06809485201704	4.75799459936912	4.01277813895276	3.99850427090262	3.68157860338383	5.53509971352215	6.04892033707433	4.31380482885751	5.35979209611939	5.152691109612	5.64018463775843	6.28226184828958	4.32530094602227	5.43883877356476	6.67739174618936	5.57687705563961	5.80107187149092	6.78285181180794	4.96611049488922	6.03163305983462	5.63747656230922	5.85817223585494	4.10920788604513
DHRS3	5.38872792068841	5.59652491943688	4.73264428170571	5.98378365261145	5.85100802722066	6.29524251019562	2.65253477650182	1.37807382897583	4.34222055668346	4.70555177575825	3.90081613207215	6.25393056583413	3.69935674712307	3.66545877883183	4.46563485785419	5.7764486931091	4.59293744571388	5.70840902268188	5.10663174207794	4.61023733334142	4.45569032987624	5.76197442306544	2.8193912475878	6.05640882258573
