symbol	TCGA.D7.A748	TCGA.VQ.A8DU	TCGA.VQ.A8DZ	TCGA.VQ.AA6F	TCGA.VQ.AA6G
ANXA2	8.41371649883547	6.7472334043559	9.13397228972899	8.54126308070292	10.8279114338995
FOS	6.51030434588962	3.29807068046652	3.22389521185496	7.19542530275277	6.69498807285202
ANXA3	5.16271104566656	6.27076888200403	6.22490331773225	6.7753149154287	9.85666692211204
ANXA4	7.95516325953976	6.86726966724172	9.41003885833806	10.0234369952975	10.6707381275543
RHOBTB3	7.28405112992658	7.41591891558572	7.74624654206274	4.76468043216078	5.57116352087776
SLC43A1	3.28962521709185	4.28275191331731	6.30242544581978	3.48360993925101	3.34314266331133
ANXA1	10.9692396628699	6.52625540423745	8.68638899719029	8.14695298606647	13.5100946849642
AGR2	4.84954260642083	4.90993023283772	5.81191322217311	6.98666420930262	7.36771926753099
ANXA5	11.9269835043109	11.8260785916995	10.2378280444572	9.35111262736479	11.4283035101066
HTATIP2	5.34710029855779	7.06083495181836	7.37737737273886	8.86292115837865	8.57290239531679
ANXA6	6.59994318962651	6.4955726216794	4.89880678349466	5.57973023143051	4.31711257938227
CCL28	6.66571171010519	5.18499472635143	5.59070503628088	5.96481192081242	5.08452501064765
RUBCNL	2.91249167346918	2.35306978501144	2.51842945017643	3.05588282765472	2.6267831875159
DOCK10	5.98243173233758	3.7207637083902	3.72329305740926	6.16264747495051	3.9197948926582
STAP2	5.18393365038003	4.66322414189305	7.0236330039076	4.14915382335907	5.44558884925247
PRXL2A	7.63925247197687	7.56487145200088	8.38463936621803	6.81814055593706	3.32515205907193
MYO1B	5.17648831385961	8.54695813623052	5.12554442557886	6.59445224037488	7.48957397191879
CCDC80	7.08859555882133	4.65845066354308	4.4451435253476	3.60854306998388	2.64846830111999
ST6GAL1	3.34701413370483	6.70601220712407	4.96087392983084	6.13473308710347	5.01124517535646
TACC2	3.27627597218807	4.61819125706721	4.37927111312219	5.07292281511056	5.98803998960395
TMC4	4.50892256255558	4.04535660416231	5.4286407408591	7.03788635990241	6.34551553799449
SLC43A3	5.65758622246026	4.87672815790281	5.91621605921567	3.61391530657317	4.60942666122042
APP	8.53825348434694	7.83114647730393	8.70702386223896	9.164892744284	10.2980831374605
SHTN1	4.03192915728157	6.16494695024361	4.30872604871372	5.58483233616482	6.0598776881559
SEPSECS	3.89099540968539	2.35363733915913	2.13507137754551	3.27570888478682	2.64284907842586
WDFY4	4.48232530024356	3.32065214752682	2.41768582374079	4.9239975698769	2.91961861117896
HVCN1	4.51073379407454	2.57312764190476	2.60243073520811	4.34960463301574	2.06610111806682
P3H4	4.25708178371268	5.50667492965098	6.49831172740284	6.43042642132864	6.095367378083
ST6GALNAC2	3.38138662249018	1.98677034170624	3.63706384716053	4.3667932601849	3.87292878541333
CARD8	4.38875065790249	4.3483177001	4.07966728396679	5.19736045141364	3.1246530464275
AREG	4.94001899494242	5.64689976062081	1.89780884896949	3.7019387919676	7.1404092621169
CYFIP2	4.28970840381428	5.01181722003894	2.9963126681815	6.81668523980015	2.71136157994669
TSPAN33	5.30977017493972	5.60927519803856	4.94413789725825	6.13670706597298	3.68919359132921
RND3	4.65185349845845	6.4285839322949	6.97067944948228	6.70342007562279	9.54771276025349
ARHGDIB	8.39009138897883	4.54434693839404	6.09281417616991	6.70402209158673	5.87773878265064
