symbol	TCGA-CG-4444	TCGA-D7-8579	TCGA-F1-A448	TCGA-FP-7829	TCGA-FP-8209	TCGA-HU-8243	TCGA-KB-A6F7	TCGA-VQ-A8DT	TCGA-VQ-A8E2	TCGA-VQ-A8P3	TCGA-VQ-A91Q	TCGA-VQ-AA68	TCGA-VQ-AA6B
SATB1	4.1840690503658	5.76748618044808	5.3426496854512	4.89122736990813	6.8297095284572	4.35854518914727	3.47022304555567	4.79854006375224	5.39057501388845	2.54764544381541	5.79011861203411	6.52287547221188	4.15650358853773
MGST1	10.5247634543819	8.15959218869951	10.1227402698972	11.438560258217	5.81354665438162	10.7840508687537	11.4066265896284	11.4645320941808	6.81968780261737	2.87302439367595	5.72599641393192	11.4562494124344	8.67297979411006
HK1	6.02788439772074	4.44116762302291	4.53902096376033	5.51042555264888	2.04318070257799	6.01957406786108	5.46325626037812	5.18772181348672	5.23491695437152	4.51721463459981	6.23337504083714	6.38467934600393	6.9991645922565
MGST2	6.68563750816554	7.34713695181097	8.17280902755333	8.07355703948921	5.65881244786232	7.31861539987549	7.52559926626672	10.0320141296322	7.37083148355674	9.11248006401712	5.69029301283308	8.21859105352993	8.34757994625613
AEBP1	5.36667991714118	6.12928013700811	5.52431676486561	6.32451925938721	6.74655241526358	3.91071639135671	3.77376925791433	2.86568335533207	6.90692648569587	6.09131173406443	6.69314274319297	4.50355849092945	4.23363254793504
YAP1	5.87776492297569	8.00360112418421	5.91190865609486	5.94101866075639	9.13228396855377	8.09420246727597	6.40714324794293	4.95038803808717	8.12466639548891	6.31683806262386	7.81454176422789	6.74747651803883	7.87890779534421
SNX7	6.55072902299135	6.89885065733461	5.32581197342067	6.15471778087968	6.77460177562154	8.727906014915	7.04532188390608	6.77921002778414	6.94821264718854	5.36529019157478	4.52572580673123	6.21442372533564	6.73274899935285
OSBPL1A	7.62509128391153	8.75580791407969	6.23085575909475	7.17493403189534	9.52696458398125	7.8675051703722	6.83736799564748	6.80078915616552	6.83260787027915	7.08502681067942	8.29871606539419	8.67168203308004	7.42218501858811
MITF	4.99809476349246	7.4079390007123	5.96097526587933	4.26966799907056	9.03781260164449	3.16896867658082	4.27392965165947	4.9065765767788	4.58953516092429	4.87364654481222	7.24710016971943	7.03700363713905	3.40378755978306
FES	3.25464030436493	3.9125676333395	3.74927376465256	3.00507702067061	4.72717849002772	4.37302235559868	4.91495754208504	2.70144599046929	3.75545417082173	3.22004536347259	3.0372581810409	3.87084038394958	1.68981890615701
MLF1	8.62038894623896	5.40582120333983	4.70851799554731	4.25110123174802	7.02240883134081	3.98313759121274	7.44426101423335	3.77274295904718	8.66168395053391	6.91213715856682	8.8957865511772	4.19397859662449	3.76721151128339
AHR	6.11317984211426	6.8924466862762	6.424464614796	7.09400978991831	7.24314315659474	6.6099499465087	5.01845591616213	5.27366149689855	5.36477406627143	6.2834651060759	7.33047435720291	8.91140942719345	5.15674464443542
IFI30	9.87309484236999	7.60809802656536	9.79348969633404	9.60899953610545	7.17403350581446	9.57803841942288	10.2250935188379	6.71401611333433	7.74760953321421	11.1038671881153	8.18920284012433	7.6818163243026	7.67251856957507
NLRC5	4.00365089186798	4.266468105424	4.67583446629503	3.1884404212774	5.23669825126624	1.86347660294798	4.23662137422378	3.21924757574875	5.02280632624729	4.61265553424232	5.54324751420683	5.48380508646593	4.36267544140638
CCL3	4.78597008772206	4.14961786156757	6.46458087057877	2.40925973324955	2.99703409365052	4.53871435182488	4.36567257368418	2.4958918564833	3.04216253111023	1.85804239766976	2.35436472134303	2.18438122404699	0.938598303202782
BIN2	4.38161330770024	4.41657761455044	4.26594152419581	3.88511464461642	6.04837676087172	2.34774438907741	4.45150416529239	1.94982516018383	2.98284665972483	2.23703620806074	2.45303941879792	2.74992837607085	2.50126766975971
BATF3	3.55576249938047	3.86620203590446	4.89233778514207	3.93813020018048	4.5886632243859	3.60666704262718	3.51033363561891	2.51518523553656	5.59953906915353	3.00472763669562	4.2418612286556	2.47275486125593	2.5653920427662
ALDH1A1	4.52866989866514	5.48517210747432	3.45619259632842	8.07208384689611	5.03686825128463	9.06692942528296	6.02859078987078	5.29822972099004	5.30142210454278	-0.475068652542574	5.19618809776229	6.16597637892412	1.59434585858624
FBXO32	8.86921905081668	8.76181680896208	7.02169983272025	5.77480500828531	10.7593823300005	3.73053202770545	4.10067891128176	4.94346221811447	7.28156850576833	4.83929321235397	5.81355421398568	5.49205139045471	3.89820897622532
ALDH1A3	5.49682039500569	5.78660053878623	4.94589790976207	4.27339455475743	6.40642118558358	2.05440467297174	2.75151581153051	3.78463489822027	6.09406484786023	3.91618913032759	6.86896219704356	8.17973073936074	4.83356797787433
BCAR3	5.24958532212445	5.52439048062691	6.21869703237701	4.9302218028202	5.03686735491778	6.03428873584487	3.44666161070141	5.2690399914314	5.06247622997494	4.27312048672085	5.09687333157717	7.49822867738323	4.09942693184148
PRKAG2	6.55036336950533	7.34929871077648	6.56162792660315	5.6199504857872	8.58039325911054	8.0757534186166	6.490207650931	7.33995221103702	6.79477872502705	5.80592907432685	4.56936008185083	5.62080609735617	7.34750155525328
FHL2	9.12601655263595	8.32142944775506	9.3782670754001	9.50222556110422	8.22574247559976	2.63843518683969	3.50183297217223	7.8534060329342	6.95625705566507	8.31054813881499	6.43282043952323	9.88413775563054	7.35941199404968
SNX9	7.00926674431458	7.73676241826487	7.64798638519929	8.30163927244487	8.33313222565962	7.1373740030791	5.46031424005889	6.92971611867019	6.11198160327588	6.52850375167364	6.65769609567948	7.16907559253803	6.82495009324188
PREX1	4.63548713589508	5.01862553457614	5.27902393977579	4.57306657447907	7.06573529525772	4.71100545321945	5.26633444435295	2.23079346313337	6.28724654569762	3.18604677116437	4.48374226866044	4.11256040772429	2.77799515340818
SDC1	5.4170223162557	6.22186327267577	7.14479874361098	6.10146659321179	2.77747728647649	3.08903588901452	4.03549044038013	7.23379578268672	4.85943570403584	6.06885882709827	7.73378848004174	9.17811975613263	6.62806911714566
